plan_id,comparator_id,comparator_label,nominal_true_rank_minus_comparator_rank,n_repeats,mean_empirical_rank_delta,sd_empirical_rank_delta,fraction_true_better,fraction_equal_rank,fraction_true_worse,probability_same_direction_as_nominal
case02,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",-2.0,9,-2.888888888888889,0.8748897637790901,1.0,0.0,0.0,1.0
case02,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-1.0,9,-1.1111111111111112,0.3142696805273545,1.0,0.0,0.0,1.0
case02,no_sink,"Bystander, no vascular sink",-4.0,9,-4.111111111111111,0.3142696805273545,1.0,0.0,0.0,1.0
case02,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1.0,9,0.4444444444444444,1.0657403385139377,0.2222222222222222,0.0,0.7777777777777778,0.7777777777777778
case02,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-3.0,9,-2.6666666666666665,0.6666666666666666,1.0,0.0,0.0,1.0
case02,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",2.0,9,1.7777777777777777,0.41573970964154905,0.0,0.0,1.0,1.0
case03,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",1.0,9,1.0,0.0,0.0,0.0,1.0,1.0
case03,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-1.0,9,-1.0,0.0,1.0,0.0,0.0,1.0
case03,no_sink,"Bystander, no vascular sink",-2.0,9,-2.0,0.0,1.0,0.0,0.0,1.0
case03,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",2.0,9,2.0,0.0,0.0,0.0,1.0,1.0
case03,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-3.0,9,-3.0,0.0,1.0,0.0,0.0,1.0
case03,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",3.0,9,3.0,0.0,0.0,0.0,1.0,1.0
case04,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",-2.0,9,-1.7777777777777777,0.41573970964154905,1.0,0.0,0.0,1.0
case04,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-4.0,9,-4.0,0.0,1.0,0.0,0.0,1.0
case04,no_sink,"Bystander, no vascular sink",-5.0,9,-5.0,0.0,1.0,0.0,0.0,1.0
case04,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",-1.0,9,-1.4444444444444444,0.8314794192830981,1.0,0.0,0.0,1.0
case04,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-3.0,9,-2.7777777777777777,0.41573970964154905,1.0,0.0,0.0,1.0
case04,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",1.0,9,1.0,0.0,0.0,0.0,1.0,1.0
case05,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",1.0,9,1.6666666666666667,0.9428090415820634,0.0,0.0,1.0,1.0
case05,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-2.0,9,0.0,1.4142135623730951,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
case05,no_sink,"Bystander, no vascular sink",-3.0,9,-1.0,1.4142135623730951,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
case05,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",-1.0,9,2.6666666666666665,0.9428090415820634,0.0,0.0,1.0,0.0
case05,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-4.0,9,-2.3333333333333335,0.9428090415820634,1.0,0.0,0.0,1.0
case05,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",2.0,9,3.6666666666666665,0.9428090415820634,0.0,0.0,1.0,1.0
case06,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",1.0,9,1.2222222222222223,0.41573970964154905,0.0,0.0,1.0,1.0
case06,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-2.0,9,-2.2222222222222223,0.41573970964154905,1.0,0.0,0.0,1.0
case06,no_sink,"Bystander, no vascular sink",-3.0,9,-3.2222222222222223,0.41573970964154905,1.0,0.0,0.0,1.0
case06,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",2.0,9,1.1111111111111112,1.1967032904743342,0.2222222222222222,0.0,0.7777777777777778,0.7777777777777778
case06,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-1.0,9,-1.2222222222222223,0.41573970964154905,1.0,0.0,0.0,1.0
case06,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",3.0,9,2.7777777777777777,0.41573970964154905,0.0,0.0,1.0,1.0
case07,ap_flip_sink,"Bystander, anterior-posterior flipped vessel sink",-2.0,9,-2.2222222222222223,0.628539361054709,1.0,0.0,0.0,1.0
case07,local_dropout_sink_20mm,"Bystander, local vessel dropout within 20 mm of GTV",-3.0,9,-2.888888888888889,0.3142696805273545,1.0,0.0,0.0,1.0
case07,no_sink,"Bystander, no vascular sink",-4.0,9,-3.888888888888889,0.3142696805273545,1.0,0.0,0.0,1.0
case07,randomized_displacement_sink,"Bystander, randomized anatomy-constrained vessel displacement",1.0,9,1.0,0.0,0.0,0.0,1.0,1.0
case07,si_flip_sink,"Bystander, superior-inferior flipped vessel sink",-1.0,9,-1.0,0.0,1.0,0.0,0.0,1.0
case07,uniform_body_sink_mass_matched,"Bystander, uniform body sink (mass matched)",2.0,9,2.0,0.0,0.0,0.0,1.0,1.0
